id,ndvi,fecha
40,0.2706334,2020-10-15T00:00:00Z
40,0.2697368,2020-10-20T00:00:00Z
40,0.1499211,2020-10-30T00:00:00Z
40,0.1278066,2020-11-09T00:00:00Z
40,0.1020099,2020-11-24T00:00:00Z
40,0.0848182,2020-11-29T00:00:00Z
41,0.380385,2020-09-10T00:00:00Z
41,0.370844,2020-09-20T00:00:00Z
41,0.4826192,2020-10-10T00:00:00Z
41,0.3895072,2020-10-15T00:00:00Z
41,0.4590985,2020-10-20T00:00:00Z
41,0.4801829,2020-10-30T00:00:00Z
41,0.5203762,2020-11-09T00:00:00Z
41,0.501199,2020-11-24T00:00:00Z
41,0.5293088,2020-11-29T00:00:00Z
42,0.3883972,2020-09-10T00:00:00Z
42,0.3602941,2020-09-20T00:00:00Z
42,0.3473862,2020-10-10T00:00:00Z
42,0.2585949,2020-10-15T00:00:00Z
42,0.2681852,2020-10-20T00:00:00Z
42,0.2511416,2020-10-30T00:00:00Z
42,0.1534681,2020-11-09T00:00:00Z
42,0.1015583,2020-11-24T00:00:00Z
42,0.149413,2020-11-29T00:00:00Z
43,0.1001059,2020-09-10T00:00:00Z
43,0.0818653,2020-09-20T00:00:00Z
43,0.1326144,2020-10-10T00:00:00Z
43,0.0828961,2020-10-15T00:00:00Z
43,0.0899329,2020-10-20T00:00:00Z
43,0.093575,2020-10-30T00:00:00Z
43,0.0935551,2020-11-09T00:00:00Z
43,0.0781563,2020-11-24T00:00:00Z
43,0.0901763,2020-11-29T00:00:00Z
44,0.1948052,2020-09-10T00:00:00Z
44,0.2677346,2020-09-20T00:00:00Z
44,0.2653846,2020-10-10T00:00:00Z
44,0.32,2020-10-15T00:00:00Z
44,0.3233233,2020-10-20T00:00:00Z
44,0.3379913,2020-10-30T00:00:00Z
44,0.2750958,2020-11-09T00:00:00Z
44,0.2314887,2020-11-24T00:00:00Z
44,0.2142316,2020-11-29T00:00:00Z
45,0.4043993,2020-09-10T00:00:00Z
45,0.3901345,2020-09-20T00:00:00Z
45,0.2969072,2020-10-10T00:00:00Z
45,0.3153488,2020-10-15T00:00:00Z
45,0.2993131,2020-10-20T00:00:00Z
45,0.2195526,2020-10-30T00:00:00Z
45,0.1290323,2020-11-09T00:00:00Z
45,0.156391,2020-11-24T00:00:00Z
45,0.1057622,2020-11-29T00:00:00Z
46,0.4504505,2020-09-10T00:00:00Z
46,0.4422383,2020-09-20T00:00:00Z
46,0.275991,2020-10-10T00:00:00Z
46,0.3294964,2020-10-15T00:00:00Z
46,0.2614379,2020-10-20T00:00:00Z
46,0.1898174,2020-10-30T00:00:00Z
46,0.1229947,2020-11-09T00:00:00Z
46,0.1333992,2020-11-24T00:00:00Z
46,0.1099815,2020-11-29T00:00:00Z
47,0.259893,2020-09-10T00:00:00Z
47,0.3369099,2020-09-20T00:00:00Z
47,0.391106,2020-10-10T00:00:00Z
47,0.3807339,2020-10-15T00:00:00Z
47,0.4626866,2020-10-20T00:00:00Z
47,0.4054054,2020-10-30T00:00:00Z
47,0.4119923,2020-11-09T00:00:00Z
47,0.4411178,2020-11-24T00:00:00Z
47,0.4981481,2020-11-29T00:00:00Z
48,0.3072289,2020-09-10T00:00:00Z
48,0.2977413,2020-09-20T00:00:00Z
48,0.3954802,2020-10-10T00:00:00Z
48,0.3254344,2020-10-15T00:00:00Z
